#      x          Cp  
     1.00000    0.20561
     0.98462    0.17841
     0.96034    0.11628
     0.93078    0.02359
     0.89909   -0.07879
     0.86678   -0.17738
     0.83426   -0.26894
     0.80163   -0.35433
     0.76893   -0.43511
     0.73618   -0.51272
     0.70338   -0.58831
     0.67054   -0.66283
     0.63769   -0.73708
     0.60483   -0.81181
     0.57197   -0.88775
     0.53913   -0.96571
     0.50633   -1.04670
     0.47360   -1.13235
     0.44097   -1.22474
     0.40858   -1.33514
     0.37681   -1.46776
     0.34549   -1.56159
     0.31441   -1.63805
     0.28359   -1.70133
     0.25305   -1.79514
     0.22288   -1.84702
     0.19318   -1.88267
     0.16410   -1.90871
     0.13589   -1.92281
     0.10898   -1.92498
     0.08417   -1.91648
     0.06260   -1.89937
     0.04526   -1.87470
     0.03217   -1.83961
     0.02249   -1.78603
     0.01531   -1.69966
     0.00993   -1.55983
     0.00591   -1.33343
     0.00301   -0.98570
     0.00110   -0.49012
     0.00014    0.10157
     0.00009    0.63804
     0.00102    1.01748
     0.00310    1.13634
     0.00634    1.05349
     0.01071    0.89741
     0.01630    0.73770
     0.02340    0.59698
     0.03255    0.47967
     0.04464    0.38507
     0.06092    0.31291
     0.08245    0.26387
     0.10904    0.23668
     0.13912    0.22588
     0.17121    0.22497
     0.20443    0.22915
     0.23836    0.23544
     0.27275    0.24194
     0.30727    0.24728
     0.34162    0.25021
     0.37581    0.24963
     0.41003    0.23715
     0.44452    0.22999
     0.47916    0.22803
     0.51387    0.23418
     0.54854    0.23270
     0.58314    0.23123
     0.61768    0.23066
     0.65216    0.23027
     0.68661    0.22958
     0.72103    0.22843
     0.75544    0.22675
     0.78983    0.22454
     0.82423    0.22185
     0.85861    0.21884
     0.89290    0.21576
     0.92667    0.21337
     0.95823    0.21235
     0.98395    0.22013
     1.00000    0.20561
