#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H       H*        P         m          K          tau         Di
   1.00763  0.00850  0.01660  1.51985  0.000023  0.000008  0.002073    2.3326    1.6056  0.00002  0.00004  0.00004
   1.01206  0.00550  0.01334  1.42749  0.000019  0.000007  0.002427    2.3017    1.6100  0.00001  0.00003  0.00003
   1.01601  0.00319  0.01013  1.29454  0.000015  0.000006  0.002814    2.2546    1.6171  0.00001  0.00002  0.00002
   1.01959  0.00151  0.00697  1.11560  0.000013  0.000005  0.002867    2.2503    1.6178  0.00001  0.00001  0.00001
   1.02287  0.00047  0.00386  0.89531  0.000011  0.000004  0.002775    2.2065    1.6248  0.00000  0.00001  0.00001
   1.02592  0.00002  0.00084  0.65524  0.000010  0.000004  0.002080    2.2353    1.6201  0.00000  0.00001  0.00000
   1.02886  0.00014 -0.00209  0.41737  0.000009  0.000004  0.001425    2.2066    1.6248  0.00000  0.00000  0.00000
   1.03196  0.00087 -0.00511  0.17664  0.000010  0.000004  0.000546    2.2282    1.6213  0.00000  0.00000  0.00000
   1.03528  0.00229 -0.00811 -0.04774  0.000010  0.000004  0.000148    2.2294    1.6211  0.00000 -0.00000 -0.00000
   1.03888  0.00439 -0.01103 -0.24065  0.000012  0.000005  0.000610    2.2474    1.6182  0.00000 -0.00000 -0.00000
   1.04284  0.00719 -0.01384 -0.39884  0.000013  0.000006  0.000903    2.2433    1.6189  0.00000 -0.00001 -0.00000
   1.04726  0.01069 -0.01653 -0.52635  0.000016  0.000007  0.000973    2.2830    1.6128  0.00000 -0.00001 -0.00000
   1.05229  0.01498 -0.01915 -0.62895  0.000019  0.000008  0.001010    2.2800    1.6132  0.00000 -0.00001 -0.00000
   1.05810  0.02019 -0.02173 -0.71227  0.000022  0.000009  0.000943    2.3123    1.6085  0.00000 -0.00002 -0.00001
   1.06498  0.02657 -0.02431 -0.78052  0.000026  0.000010  0.000882    2.3215    1.6072  0.00001 -0.00002 -0.00001
   1.07328  0.03445 -0.02692 -0.83694  0.000030  0.000012  0.000788    2.3471    1.6036  0.00001 -0.00003 -0.00001
   1.08350  0.04432 -0.02957 -0.88350  0.000036  0.000014  0.000699    2.3656    1.6011  0.00001 -0.00003 -0.00002
   1.09622  0.05676 -0.03223 -0.92137  0.000042  0.000016  0.000606    2.3903    1.5979  0.00001 -0.00004 -0.00002
   1.11194  0.07226 -0.03481 -0.95089  0.000049  0.000019  0.000520    2.4149    1.5948  0.00002 -0.00005 -0.00003
   1.13072  0.09090 -0.03716 -0.97236  0.000058  0.000022  0.000443    2.4417    1.5915  0.00002 -0.00006 -0.00003
   1.15207  0.11216 -0.03911 -0.98662  0.000067  0.000025  0.000378    2.4686    1.5884  0.00002 -0.00007 -0.00004
   1.17524  0.13528 -0.04059 -0.99516  0.000076  0.000028  0.000325    2.4954    1.5854  0.00003 -0.00008 -0.00004
   1.19959  0.15961 -0.04161 -0.99955  0.000086  0.000031  0.000282    2.5218    1.5825  0.00003 -0.00009 -0.00005
   1.22470  0.18471 -0.04220 -1.00107  0.000095  0.000034  0.000247    2.5474    1.5798  0.00003 -0.00010 -0.00005
   1.25034  0.21035 -0.04243 -1.00066  0.000105  0.000037  0.000219    2.5721    1.5774  0.00004 -0.00010 -0.00006
   1.27636  0.23637 -0.04236 -0.99904  0.000114  0.000040  0.000195    2.5946    1.5752  0.00004 -0.00011 -0.00006
   1.30269  0.26269 -0.04204 -0.99687  0.000122  0.000043  0.000388    2.6048    1.5209  0.00004 -0.00012 -0.00006
   1.32926  0.28926 -0.04152 -0.99121  0.000101  0.000059  0.002426    1.5072    1.7189  0.00006 -0.00010 -0.00010
   1.35603  0.31602 -0.04084 -0.98979  0.000145  0.000095  0.002828    1.3453    1.7842  0.00009 -0.00014 -0.00016
   1.38296  0.34294 -0.04003 -0.98837  0.000204  0.000133  0.002575    1.3505    1.7804  0.00013 -0.00020 -0.00023
   1.41001  0.36998 -0.03912 -0.98671  0.000257  0.000168  0.002428    1.3501    1.7799  0.00016 -0.00025 -0.00029
   1.43711  0.39706 -0.03814 -0.98691  0.000306  0.000201  0.002363    1.3418    1.7834  0.00020 -0.00030 -0.00034
   1.46410  0.42403 -0.03708 -0.98785  0.000353  0.000233  0.002315    1.3349    1.7865  0.00023 -0.00035 -0.00040
   1.49108  0.45098 -0.03590 -0.98613  0.000402  0.000265  0.002252    1.3323    1.7875  0.00026 -0.00040 -0.00046
   1.51810  0.47797 -0.03461 -0.98385  0.000450  0.000298  0.002196    1.3300    1.7885  0.00029 -0.00044 -0.00051
   1.54519  0.50502 -0.03323 -0.98114  0.000499  0.000331  0.002146    1.3278    1.7894  0.00032 -0.00049 -0.00056
   1.57234  0.53213 -0.03177 -0.97820  0.000547  0.000364  0.002100    1.3257    1.7903  0.00035 -0.00054 -0.00061
   1.59954  0.55930 -0.03024 -0.97514  0.000596  0.000397  0.002059    1.3238    1.7912  0.00038 -0.00058 -0.00066
   1.62680  0.58650 -0.02866 -0.97200  0.000644  0.000430  0.002021    1.3220    1.7920  0.00041 -0.00063 -0.00071
   1.65409  0.61375 -0.02703 -0.96882  0.000692  0.000464  0.001986    1.3203    1.7927  0.00044 -0.00067 -0.00076
   1.68142  0.64103 -0.02535 -0.96564  0.000741  0.000497  0.001953    1.3188    1.7934  0.00046 -0.00072 -0.00080
   1.70878  0.66833 -0.02365 -0.96244  0.000789  0.000530  0.001922    1.3174    1.7940  0.00049 -0.00076 -0.00085
   1.73616  0.69566 -0.02192 -0.95922  0.000838  0.000564  0.001893    1.3162    1.7946  0.00052 -0.00080 -0.00089
   1.76356  0.72300 -0.02016 -0.95595  0.000886  0.000597  0.001865    1.3151    1.7951  0.00055 -0.00085 -0.00094
   1.79097  0.75035 -0.01839 -0.95259  0.000935  0.000632  0.001837    1.3142    1.7955  0.00057 -0.00089 -0.00098
   1.81838  0.77771 -0.01659 -0.94907  0.000985  0.000666  0.001810    1.3136    1.7958  0.00060 -0.00093 -0.00102
   1.84580  0.80506 -0.01478 -0.94530  0.001036  0.000701  0.001782    1.3132    1.7959  0.00063 -0.00098 -0.00106
   1.87321  0.83241 -0.01296 -0.94113  0.001089  0.000738  0.001752    1.3133    1.7959  0.00065 -0.00102 -0.00110
   1.90059  0.85973 -0.01112 -0.93637  0.001144  0.000776  0.001720    1.3139    1.7955  0.00068 -0.00107 -0.00114
   1.92790  0.88698 -0.00926 -0.93070  0.001204  0.000817  0.001683    1.3153    1.7947  0.00071 -0.00112 -0.00118
   1.95500  0.91402 -0.00740 -0.92364  0.001272  0.000862  0.001638    1.3182    1.7933  0.00074 -0.00117 -0.00122
   1.98145  0.94040 -0.00555 -0.91435  0.001351  0.000915  0.001580    1.3234    1.7906  0.00076 -0.00124 -0.00125
   2.00608  0.96497 -0.00380 -0.90181  0.001449  0.000978  0.001503    1.3327    1.7859  0.00080 -0.00131 -0.00128
   2.02700  0.98583 -0.00230 -0.88306  0.001590  0.001064  0.001385    1.3515    1.7767  0.00083 -0.00140 -0.00130
   2.04120  1.00000 -0.00126 -0.86608  0.001726  0.001144  0.001279    1.3713    1.7673  0.00086 -0.00150 -0.00131
   2.04120  1.00010 -0.00001  0.86608  0.011272  0.004573  0.000000    2.2947
   2.05537  1.01424 -0.00088  0.85561  0.009368  0.004795  0.000000    1.8043
   2.07179  1.03064 -0.00166  0.87494  0.007984  0.004428  0.000000    1.6520
   2.09081  1.04964 -0.00243  0.89295  0.007003  0.004129  0.000000    1.5423
   2.11284  1.07166 -0.00320  0.90867  0.006295  0.003897  0.000000    1.4592
   2.13836  1.09717 -0.00395  0.92207  0.005766  0.003717  0.000000    1.3927
   2.16792  1.12672 -0.00467  0.93343  0.005355  0.003575  0.000000    1.3372
   2.20216  1.16095 -0.00535  0.94311  0.005027  0.003463  0.000000    1.2897
   2.24182  1.20061 -0.00596  0.95143  0.004759  0.003371  0.000000    1.2482
   2.28777  1.24656 -0.00647  0.95862  0.004536  0.003295  0.000000    1.2120
   2.34099  1.29978 -0.00684  0.96486  0.004350  0.003232  0.000000    1.1802
   2.40265  1.36143 -0.00701  0.97029  0.004194  0.003179  0.000000    1.1527
   2.47407  1.43285 -0.00692  0.97500  0.004063  0.003135  0.000000    1.1290
   2.55680  1.51558 -0.00649  0.97908  0.003954  0.003097  0.000000    1.1089
   2.65263  1.61141 -0.00564  0.98260  0.003864  0.003066  0.000000    1.0921
   2.76364  1.72242 -0.00426  0.98561  0.003789  0.003039  0.000000    1.0781
   2.89224  1.85100 -0.00221  0.98816  0.003728  0.003017  0.000000    1.0667
   3.04120  1.99993  0.00065  0.99050  0.003677  0.002997  0.000000    1.0573
