#      x          Cp  
     1.00000    0.24359
     0.98462    0.19437
     0.96034    0.10533
     0.93078   -0.00047
     0.89909   -0.10110
     0.86678   -0.19132
     0.83426   -0.27271
     0.80163   -0.34765
     0.76893   -0.41801
     0.73618   -0.48512
     0.70338   -0.54998
     0.67054   -0.61337
     0.63769   -0.67592
     0.60483   -0.73818
     0.57197   -0.80067
     0.53913   -0.86393
     0.50633   -0.92852
     0.47360   -0.99528
     0.44097   -1.06462
     0.40858   -1.14538
     0.37681   -1.24379
     0.34549   -1.35308
     0.31441   -1.39971
     0.28359   -1.43929
     0.25305   -1.46794
     0.22288   -1.48267
     0.19318   -1.48194
     0.16410   -1.46432
     0.13589   -1.42835
     0.10898   -1.37262
     0.08417   -1.29636
     0.06260   -1.20062
     0.04526   -1.08858
     0.03217   -0.96217
     0.02249   -0.81865
     0.01531   -0.65024
     0.00993   -0.44560
     0.00591   -0.19132
     0.00301    0.12183
     0.00110    0.48317
     0.00014    0.83435
     0.00009    1.07369
     0.00102    1.12838
     0.00310    0.96857
     0.00634    0.71304
     0.01071    0.47690
     0.01630    0.29530
     0.02340    0.16585
     0.03255    0.07794
     0.04464    0.02315
     0.06092   -0.00406
     0.08245   -0.00777
     0.10904    0.00576
     0.13912    0.02846
     0.17121    0.05390
     0.20443    0.07777
     0.23836    0.10885
     0.27275    0.12858
     0.30727    0.14259
     0.34162    0.15337
     0.37581    0.15984
     0.41003    0.15202
     0.44452    0.15107
     0.47916    0.15523
     0.51387    0.16051
     0.54854    0.16619
     0.58314    0.17175
     0.61768    0.17694
     0.65216    0.18161
     0.68661    0.18571
     0.72103    0.18923
     0.75544    0.19223
     0.78983    0.19481
     0.82423    0.19718
     0.85861    0.19968
     0.89290    0.20289
     0.92667    0.20807
     0.95823    0.21687
     0.98395    0.23538
     1.00000    0.24359
