#      x          Cp  
     1.00000    0.25311
     0.98462    0.19572
     0.96034    0.10007
     0.93078   -0.00583
     0.89909   -0.10283
     0.86678   -0.18841
     0.83426   -0.26503
     0.80163   -0.33523
     0.76893   -0.40079
     0.73618   -0.46301
     0.70338   -0.52280
     0.67054   -0.58089
     0.63769   -0.63783
     0.60483   -0.69409
     0.57197   -0.75010
     0.53913   -0.80620
     0.50633   -0.86262
     0.47360   -0.91936
     0.44097   -0.97610
     0.40858   -1.04531
     0.37681   -1.17588
     0.34549   -1.22454
     0.31441   -1.26433
     0.28359   -1.29270
     0.25305   -1.30715
     0.22288   -1.30628
     0.19318   -1.28870
     0.16410   -1.25282
     0.13589   -1.19682
     0.10898   -1.11884
     0.08417   -1.01763
     0.06260   -0.89444
     0.04526   -0.75378
     0.03217   -0.59985
     0.02249   -0.43214
     0.01531   -0.24556
     0.00993   -0.03242
     0.00591    0.21412
     0.00301    0.49430
     0.00110    0.78670
     0.00014    1.02972
     0.00009    1.13580
     0.00102    1.03711
     0.00310    0.74373
     0.00634    0.41214
     0.01071    0.15247
     0.01630   -0.02098
     0.02340   -0.12642
     0.03255   -0.18303
     0.04464   -0.20375
     0.06092   -0.19670
     0.08245   -0.16864
     0.10904   -0.12853
     0.13912   -0.08641
     0.17121   -0.03501
     0.20443    0.00141
     0.23836    0.03167
     0.27275    0.05876
     0.30727    0.08145
     0.34162    0.09861
     0.37581    0.10973
     0.41003    0.10549
     0.44452    0.10797
     0.47916    0.11540
     0.51387    0.12375
     0.54854    0.13231
     0.58314    0.14057
     0.61768    0.14831
     0.65216    0.15543
     0.68661    0.16188
     0.72103    0.16770
     0.75544    0.17298
     0.78983    0.17787
     0.82423    0.18263
     0.85861    0.18769
     0.89290    0.19375
     0.92667    0.20223
     0.95823    0.21510
     0.98395    0.23789
     1.00000    0.25311
