#      x          Cp  
     1.00000    0.26010
     0.98462    0.19557
     0.96034    0.09576
     0.93078   -0.00855
     0.89909   -0.10144
     0.86678   -0.18240
     0.83426   -0.25439
     0.80163   -0.31997
     0.76893   -0.38088
     0.73618   -0.43832
     0.70338   -0.49318
     0.67054   -0.54608
     0.63769   -0.59754
     0.60483   -0.64795
     0.57197   -0.69758
     0.53913   -0.74652
     0.50633   -0.79434
     0.47360   -0.84011
     0.44097   -0.88732
     0.40858   -0.98367
     0.37681   -1.06290
     0.34549   -1.10381
     0.31441   -1.13414
     0.28359   -1.15033
     0.25305   -1.15153
     0.22288   -1.13664
     0.19318   -1.10425
     0.16410   -1.05265
     0.13589   -0.97982
     0.10898   -0.88361
     0.08417   -0.76265
     0.06260   -0.61864
     0.04526   -0.45746
     0.03217   -0.28539
     0.02249   -0.10374
     0.01531    0.09012
     0.00993    0.30088
     0.00591    0.52972
     0.00301    0.76949
     0.00110    0.98963
     0.00014    1.12469
     0.00009    1.09534
     0.00102    0.83487
     0.00310    0.40084
     0.00634   -0.00128
     0.01071   -0.26946
     0.01630   -0.41577
     0.02340   -0.47987
     0.03255   -0.49004
     0.04464   -0.46448
     0.06092   -0.41393
     0.08245   -0.34878
     0.10904   -0.27073
     0.13912   -0.19704
     0.17121   -0.14022
     0.20443   -0.09090
     0.23836   -0.04741
     0.27275   -0.01061
     0.30727    0.01939
     0.34162    0.04237
     0.37581    0.05821
     0.41003    0.05771
     0.44452    0.06377
     0.47916    0.07464
     0.51387    0.08621
     0.54854    0.09776
     0.58314    0.10883
     0.61768    0.11920
     0.65216    0.12882
     0.68661    0.13768
     0.72103    0.14584
     0.75544    0.15343
     0.78983    0.16064
     0.82423    0.16780
     0.85861    0.17540
     0.89290    0.18426
     0.92667    0.19594
     0.95823    0.21265
     0.98395    0.23932
     1.00000    0.26010
