#      x          Cp  
     1.00000    0.00955
     0.98462    0.00166
     0.96034   -0.01054
     0.93078   -0.02454
     0.89909   -0.03351
     0.86678   -0.05242
     0.83426   -0.11371
     0.80163   -0.19781
     0.76893   -0.29397
     0.73618   -0.39402
     0.70338   -0.49383
     0.67054   -0.59231
     0.63769   -0.68990
     0.60483   -0.78761
     0.57197   -0.88666
     0.53913   -0.98840
     0.50633   -1.09441
     0.47360   -1.20686
     0.44097   -1.32859
     0.40858   -1.47060
     0.37681   -1.63832
     0.34549   -1.77783
     0.31441   -1.90883
     0.28359   -2.03223
     0.25305   -2.14928
     0.22288   -2.26055
     0.19318   -2.36692
     0.16410   -2.47005
     0.13589   -2.57301
     0.10898   -2.68035
     0.08417   -2.79572
     0.06260   -2.91842
     0.04526   -3.05887
     0.03217   -3.36335
     0.02249   -3.57135
     0.01531   -3.73808
     0.00993   -3.86021
     0.00591   -3.84119
     0.00301   -3.54910
     0.00110   -2.85917
     0.00014   -1.80441
     0.00009   -0.67918
     0.00102    0.30453
     0.00310    0.90561
     0.00634    1.11825
     0.01071    1.12198
     0.01630    1.04140
     0.02340    0.93335
     0.03255    0.81999
     0.04464    0.71164
     0.06092    0.61317
     0.08245    0.53157
     0.10904    0.47073
     0.13912    0.42986
     0.17121    0.40343
     0.20443    0.38636
     0.23836    0.37484
     0.27275    0.36631
     0.30727    0.35889
     0.34162    0.35094
     0.37581    0.34103
     0.41003    0.32084
     0.44452    0.30634
     0.47916    0.29686
     0.51387    0.28910
     0.54854    0.28223
     0.58314    0.27567
     0.61768    0.26904
     0.65216    0.26203
     0.68661    0.25441
     0.72103    0.24595
     0.75544    0.23643
     0.78983    0.22561
     0.82423    0.21316
     0.85861    0.19864
     0.89290    0.18140
     0.92667    0.16060
     0.95823    0.13326
     0.98395    0.10969
     1.00000    0.00955
