#      x          Cp  
     1.00000    0.06802
     0.98462    0.06178
     0.96034    0.05535
     0.93078    0.04930
     0.89909   -0.00076
     0.86678   -0.07740
     0.83426   -0.16888
     0.80163   -0.26505
     0.76893   -0.36036
     0.73618   -0.45307
     0.70338   -0.54335
     0.67054   -0.63207
     0.63769   -0.72028
     0.60483   -0.80902
     0.57197   -0.89935
     0.53913   -0.99239
     0.50633   -1.08950
     0.47360   -1.19263
     0.44097   -1.30435
     0.40858   -1.43570
     0.37681   -1.59172
     0.34549   -1.71675
     0.31441   -1.83176
     0.28359   -1.93743
     0.25305   -2.03471
     0.22288   -2.12372
     0.19318   -2.20460
     0.16410   -2.27753
     0.13589   -2.34157
     0.10898   -2.39588
     0.08417   -2.45549
     0.06260   -2.58405
     0.04526   -2.67458
     0.03217   -2.77362
     0.02249   -2.86514
     0.01531   -2.92843
     0.00993   -2.92934
     0.00591   -2.81078
     0.00301   -2.48455
     0.00110   -1.87604
     0.00014   -1.00432
     0.00009   -0.12090
     0.00102    0.62241
     0.00310    1.03557
     0.00634    1.13639
     0.01071    1.07887
     0.01630    0.96617
     0.02340    0.84229
     0.03255    0.72350
     0.04464    0.61588
     0.06092    0.52307
     0.08245    0.44957
     0.10904    0.39799
     0.13912    0.36567
     0.17121    0.34675
     0.20443    0.33604
     0.23836    0.32993
     0.27275    0.32600
     0.30727    0.32253
     0.34162    0.31795
     0.37581    0.31096
     0.41003    0.29315
     0.44452    0.28107
     0.47916    0.27405
     0.51387    0.26870
     0.54854    0.26421
     0.58314    0.25999
     0.61768    0.25569
     0.65216    0.25103
     0.68661    0.24582
     0.72103    0.23987
     0.75544    0.23303
     0.78983    0.22514
     0.82423    0.21599
     0.85861    0.20532
     0.89290    0.19269
     0.92667    0.17771
     0.95823    0.15863
     0.98395    0.14406
     1.00000    0.06802
