#      x          Cp  
     1.00000    0.14871
     0.98462    0.14703
     0.96034    0.11440
     0.93078    0.04853
     0.89909   -0.04115
     0.86678   -0.13893
     0.83426   -0.23530
     0.80163   -0.32721
     0.76893   -0.41471
     0.73618   -0.49886
     0.70338   -0.58082
     0.67054   -0.66165
     0.63769   -0.74230
     0.60483   -0.82363
     0.57197   -0.90651
     0.53913   -0.99192
     0.50633   -1.08102
     0.47360   -1.17562
     0.44097   -1.27807
     0.40858   -1.39970
     0.37681   -1.54534
     0.34549   -1.65666
     0.31441   -1.75648
     0.28359   -1.84488
     0.25305   -1.92128
     0.22288   -1.98178
     0.19318   -2.02991
     0.16410   -2.09777
     0.13589   -2.15347
     0.10898   -2.18591
     0.08417   -2.21753
     0.06260   -2.24943
     0.04526   -2.28186
     0.03217   -2.30983
     0.02249   -2.32260
     0.01531   -2.30305
     0.00993   -2.22319
     0.00591   -2.04124
     0.00301   -1.69541
     0.00110   -1.14189
     0.00014   -0.41401
     0.00009    0.28863
     0.00102    0.84515
     0.00310    1.10929
     0.00634    1.11797
     0.01071    1.01029
     0.01630    0.87275
     0.02340    0.73820
     0.03255    0.61819
     0.04464    0.51455
     0.06092    0.43001
     0.08245    0.36661
     0.10904    0.32562
     0.13912    0.30277
     0.17121    0.29193
     0.20443    0.28796
     0.23836    0.28751
     0.27275    0.28839
     0.30727    0.28901
     0.34162    0.28795
     0.37581    0.28400
     0.41003    0.26878
     0.44452    0.25927
     0.47916    0.25484
     0.51387    0.25204
     0.54854    0.25005
     0.58314    0.24831
     0.61768    0.24647
     0.65216    0.24423
     0.68661    0.24113
     0.72103    0.23781
     0.75544    0.24066
     0.78983    0.23391
     0.82423    0.22612
     0.85861    0.21844
     0.89290    0.21046
     0.92667    0.20212
     0.95823    0.19282
     0.98395    0.19125
     1.00000    0.14871
